Yil,Revenue_B,Sales_M,Veri_Kapsami,Revenue_Buyume_%,Sales_Buyume_%
2015,3.258936597,316.178144,5583,,
2016,4.367887058,421.276185,9194,34.027985141559355,33.24013471342284
2017,5.068865928,502.61099,13869,16.0484660132437,19.306765465510466
2018,5.396489587,439.016002,19357,6.46345087152993,-12.652924282455501
2019,5.210855434,453.134171,24481,-3.439905701795243,3.2158666052450657
2020,8.807077791,788.076652,30898,69.01404966131324,73.91684459832979
2021,8.443592084,793.895043,38419,-4.127199913817581,0.7383026746489607
2022,10.470157102,884.291304,46156,24.001218886926033,11.386424666213713
2023,13.344613326,964.334269,59330,27.45380223044527,9.051651264457083
2024,14.184670724,1033.356495,72219,6.295104829776332,7.157500072207856
2025,16.252502674,1054.173576,87659,14.577934096850731,2.0145110715155345
