Sutun,Eksik_Sayisi,Eksik_Yuzdesi
Early Access copies sold,113440,99.98589761669722
Pre order revenue,113248,99.81666901706389
Pre order copies sold,113248,99.81666901706389
Total Revenue,112986,99.58574249048088
2015 revenue,107873,95.07914962628683
2015 sales,107574,94.81561133831617
Early Access revenue,106195,93.60016217740798
Revenue within the last 24 hours,104822,92.39000141023833
Sales within the last 24 hours,104357,91.98015089550134
2016 revenue,104262,91.8964179946411
2016 sales,103550,91.26886193766747
Early Access duration (days),101755,89.68675081088703
Early Access Exit Date,101749,89.6814624171485
2017 revenue,99587,87.7758778733606
2017 sales,98279,86.62300803835848
Wishlist change within the last 24 hours,98193,86.54720772810605
2018 revenue,94099,82.93876040050769
Early Access Release Date,92049,81.13189253983923
2018 sales,91995,81.08429699619235
2019 revenue,88975,78.42247214779297
2019 sales,85980,75.78268227330419
M1 wishlist/sales ratio,83108,73.25130447045551
2020 revenue,82558,72.76653504442251
2020 sales,78358,69.06465942744325
Wishlists 30 days after store page creation,75862,66.86468763220984
Wishlists 7 days after store page creation,75475,66.5235862360739
Store page creation date,75264,66.33761105626851
2021 revenue,75037,66.13753349316033
Wishlists at release,74571,65.72680157946694
2021 sales,69642,61.382386123254825
2022 revenue,67300,59.31814976731068
2022 sales,60496,53.321111267804255
2023 revenue,54126,47.7065999153857
2023 sales,45052,39.70878578479763
Y1 Revenue,44296,39.04244817374136
Wishlist change within the last 7 days,42289,37.273480468199125
2024 revenue,41237,36.34624876604146
M1 Revenue,40067,35.315011987025805
Y1 Sales,32707,28.82791566774785
2024 sales,29448,25.95543646876322
M1 Sales,27653,24.373325341982795
2025 revenue,25797,22.737448878860526
2025 sales,11392,10.040896911578056
Wishlists,72,0.06346072486250176
