Yil,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,TOPLAM_CLUSTER
2015,0.224341758,3.11e-07,4.0782e-05,0.0,0.0,0.019269833,3.005660965,0.000258814,0.000310505,0.009053629,3.258936597
2016,0.24368901,5.51e-06,1.3784e-05,5.341e-06,0.0,0.022347226,4.089899272,0.000420647,0.001093178,0.01041309,4.367887058
2017,0.253528601,8.232e-06,2.799e-05,1.1194e-05,0.0,0.021819767,4.778020333,0.000605633,0.001676227,0.013167951,5.068865927999999
2018,0.237557682,2.5024e-05,5.7041e-05,1.4991e-05,0.0,0.019350971,5.123692357,0.000739252,0.002299414,0.012752855,5.3964895870000005
2019,0.210803121,1.5876e-05,4.9323e-05,6.271e-06,0.0,0.012598109,4.977689378,0.00037137,0.001441046,0.00788094,5.210855434
2020,0.340393995,2.0946e-05,0.00010886,1.1076e-05,7e-09,0.018514194,8.429897219,0.000419618,0.002312372,0.015399504,8.807077791000001
2021,0.396819277,0.000434334,0.000159023,1.3756e-05,7.8e-08,0.018690028,8.007778842,0.000555962,0.002831813,0.016308971,8.443592084000002
2022,0.475212108,5.6144e-05,0.000244782,1.6422e-05,8.85e-07,0.025679451,9.943184683,0.000646727,0.003609009,0.021506891,10.470157101999998
2023,0.864192411,0.001769156,0.000454638,3.224e-05,3.729e-06,0.046304595,12.390799136,0.001227164,0.005710175,0.034120082,13.344613326
2024,0.889701303,0.000161828,0.000583961,3.6263e-05,5.988e-06,0.046590884,13.206635153,0.001078264,0.006524543,0.033352537,14.184670724
2025,1.129376219,0.000206767,0.000892918,5.4835e-05,4.05e-06,0.069398539,14.97253199,0.001130722,0.009422072,0.069484562,16.252502674
