Yil,Indie,Casual,Action,Adventure,Simulation,Strategy,RPG,Free To Play,Early Access,Sports,Racing,Massively Multiplayer,TOPLAM_12_GENRE,GERCEK_PAZAR,Kapsama_%
2015,0.806449249,0.042270907,1.851799002,0.032126661,0.138620266,0.125530834,0.239839687,0.0,6.917e-06,0.002241233,0.002462955,1.6648e-05,3.241364359,3.258936597,99.46079840840795
2016,0.961184526,0.090885019,2.608813162,0.050681123,0.204013898,0.252477304,0.180277565,0.0,2.6055e-05,0.001705953,0.00611138,2.7682e-05,4.356203667,4.367887058,99.73251618357207
2017,1.0858409,0.087449127,3.223076082,0.160113881,0.173606079,0.14365983,0.177950593,0.0,0.000143821,0.002541836,0.004012266,3.5918e-05,5.058430333,5.068865928,99.79412367286427
2018,1.166203397,0.072445643,3.431226951,0.114676149,0.259227986,0.138014319,0.20289903,1.383e-05,4.3772e-05,0.002720833,0.002400025,2.0791e-05,5.389892726,5.396489587,99.87775643974388
2019,1.250886438,0.121732505,3.189837055,0.07835976,0.217489039,0.154749063,0.187010921,1.075e-05,0.000642878,0.001830716,0.004723497,7.815e-06,5.207280436999999,5.210855434,99.93139327994642
2020,2.387724872,0.210372369,4.645881033,0.172070707,0.396944072,0.283033045,0.698056011,2.0899e-05,0.000317447,0.004371663,0.002504058,1.4246e-05,8.801310422,8.807077791,99.93451438562411
2021,2.280752551,0.260395339,4.648967426,0.165500975,0.379009332,0.265849299,0.422780807,7.5776e-05,0.002467081,0.003124305,0.008003405,2.0527e-05,8.436946823,8.443592084,99.92129817577766
2022,2.698185968,0.372049871,5.995182833,0.203387877,0.51127218,0.253120729,0.41723818,9.089e-05,0.000780518,0.006146936,0.005515532,0.000700485,10.463671999,10.470157102,99.93806107265802
2023,3.331652902,0.489467976,7.22374741,0.696471753,0.729603173,0.285771811,0.555947102,0.000125811,0.000576538,0.013875264,0.013659402,0.000183818,13.34108296,13.344613326,99.97354463622321
2024,3.4821217,0.411335009,8.104235008,0.523993944,0.914318717,0.271436864,0.418039213,0.000123403,0.003428717,0.036954743,0.015601906,4.4173e-05,14.181633397000002,14.184670724,99.97858725761706
2025,3.607233809,0.526663214,9.65337771,0.405170688,1.038484649,0.318861643,0.604310577,0.002335241,0.017015461,0.06101372,0.014738063,0.001029347,16.250234122,16.252502674,99.98604182970769
